member_id,claim_id,claim_type,claim_amount,claim_timestamp,login_timestamp,account_age_months,previous_claims_30d,device_type,browser,operating_system,device_fingerprint,is_new_device,ip_address,country,multiple_ips_same_day,failed_login_attempts,is_unusual_hours,is_weekend,session_duration_min,distance_from_last_login_km,travel_velocity_kmh,impossible_travel,user_agent_anomaly_score,email_verified,phone_verified,two_fa_enabled,risk_score,label
NEST010001,CLM00000001,withdrawal,11310.6,2023-10-09 07:14:00,2023-10-09 06:26:00,20,2,tablet,Chrome,Linux,c13be53a,False,109.9.8.24,AU,1,0,False,False,45.07,358.01,26.15,False,0.168,True,True,False,31.56,legitimate
NEST010002,CLM00000002,transfer,11507.95,2023-12-15 08:09:00,2023-12-15 08:02:00,25,1,desktop,Edge,Windows,c154a5f6,False,92.217.89.155,DE,1,1,False,False,28.93,486.56,37.14,False,0.221,True,True,False,25.21,legitimate
NEST010003,CLM00000003,withdrawal,14793.1,2024-11-08 07:49:00,2024-11-08 06:53:00,30,0,desktop,Edge,iOS,c004d009,False,117.163.214.94,CA,1,0,False,False,44.18,350.91,21.6,False,0.029,True,True,True,21.18,legitimate
NEST010004,CLM00000004,account_change,0.0,2024-12-05 17:14:00,2024-12-05 16:20:00,55,1,desktop,Firefox,Windows,2d5232fe,False,207.81.103.69,US,1,1,False,False,54.23,249.62,45.41,False,0.257,True,True,False,23.86,legitimate
NEST010005,CLM00000005,transfer,11969.25,2024-08-20 12:23:00,2024-08-20 11:50:00,26,0,mobile,Chrome,Windows,a71c790c,False,221.29.40.161,CA,1,1,False,False,39.79,192.38,13.25,False,0.187,True,True,False,28.81,legitimate
NEST010006,CLM00000006,account_change,0.0,2023-10-01 20:21:00,2023-10-01 19:51:00,4,4,desktop,Safari,Linux,06f192fd,False,196.46.130.234,NG,3,3,False,True,13.99,14535.0,1565.09,True,0.967,False,False,True,79.07,fraudulent
NEST010007,CLM00000007,transfer,7024.6,2023-09-03 01:15:00,2023-09-03 01:09:00,68,0,tablet,Edge,Windows,b44c7bfd,True,251.195.137.197,CA,1,1,True,True,36.38,82.56,3.63,False,0.243,False,False,False,29.15,legitimate
NEST010008,CLM00000008,transfer,10845.56,2024-11-18 20:23:00,2024-11-18 20:15:00,40,1,desktop,Firefox,Windows,1b7f2d27,False,87.6.151.142,AU,1,0,False,False,21.45,315.55,145.53,False,0.362,True,True,True,28.41,legitimate
NEST010009,CLM00000009,withdrawal,11984.67,2024-08-07 18:30:00,2024-08-07 18:17:00,27,1,desktop,Chrome,Android,d21167af,False,91.109.106.120,UK,1,0,False,False,50.03,364.11,189.21,False,0.044,True,True,True,11.42,legitimate
NEST010010,CLM00000010,withdrawal,10130.03,2024-03-29 17:06:00,2024-03-29 16:12:00,15,2,desktop,Chrome,macOS,78dab1ac,False,43.105.125.124,AU,1,0,False,False,29.52,1.08,0.25,False,0.371,True,True,True,30.57,legitimate
NEST010011,CLM00000011,account_change,0.0,2024-05-13 04:12:00,2024-05-13 04:08:00,30,0,tablet,Opera,Windows,dc9a1c12,False,192.81.15.13,IE,1,0,True,False,52.57,253.91,138.25,False,0.027,True,True,True,37.96,legitimate
NEST010012,CLM00000012,account_change,0.0,2024-08-31 01:39:00,2024-08-31 00:56:00,17,1,tablet,Opera,Linux,81e63ea3,False,81.240.67.53,FR,1,1,True,True,32.86,322.75,90.26,False,0.372,True,True,True,24.7,legitimate
NEST010013,CLM00000013,account_change,0.0,2023-08-07 16:16:00,2023-08-07 15:19:00,3,3,desktop,Safari,iOS,d0d7eca5,True,41.113.214.140,UK,4,7,False,False,13.57,132.23,45.06,False,0.897,True,True,False,78.57,fraudulent
NEST010014,CLM00000014,transfer,10943.83,2024-06-01 15:16:00,2024-06-01 15:10:00,69,0,tablet,Edge,iOS,e87c6a76,False,12.1.86.198,CA,1,1,False,True,45.28,220.92,51.41,False,0.224,True,False,True,10.22,legitimate
NEST010015,CLM00000015,transfer,17706.46,2024-08-19 17:09:00,2024-08-19 16:11:00,1,3,mobile,Firefox,macOS,dfcc4e5d,False,171.27.91.200,RO,3,3,False,False,13.46,405.39,19.47,False,0.61,False,True,False,90.06,fraudulent
NEST010016,CLM00000016,withdrawal,2513.34,2023-10-01 05:50:00,2023-10-01 04:55:00,56,0,mobile,Firefox,macOS,7a688939,False,210.236.118.90,DE,1,0,True,True,29.92,330.02,57.51,False,0.111,True,True,True,22.83,legitimate
NEST010017,CLM00000017,account_change,0.0,2023-12-06 00:07:00,2023-12-05 23:55:00,68,1,tablet,Safari,Windows,5e76bfe4,False,28.153.112.89,FR,1,0,True,False,22.74,288.29,30.18,False,0.284,True,False,True,30.18,legitimate
NEST010018,CLM00000018,account_change,0.0,2023-07-21 11:27:00,2023-07-21 10:28:00,16,2,mobile,Opera,iOS,5173935b,False,170.218.32.185,DE,1,1,False,False,37.72,348.6,42.69,False,0.077,True,True,False,11.09,legitimate
NEST010019,CLM00000019,transfer,2917.1,2024-07-15 00:19:00,2024-07-14 23:40:00,30,2,tablet,Safari,Android,3c19ee20,False,114.114.173.55,IE,1,0,True,False,43.19,141.89,8.88,False,0.248,True,False,True,15.86,legitimate
NEST010020,CLM00000020,withdrawal,9557.84,2023-01-26 01:15:00,2023-01-26 00:45:00,42,0,mobile,Opera,macOS,24d9e1e6,False,184.179.99.127,NL,1,0,True,False,54.27,430.22,20.03,False,0.311,True,True,True,21.26,legitimate
NEST010021,CLM00000021,withdrawal,10346.09,2024-04-12 04:51:00,2024-04-12 04:12:00,41,2,mobile,Edge,Linux,eec763e3,False,209.185.229.130,NL,1,1,True,False,33.73,371.83,17.23,False,0.104,True,True,False,23.25,legitimate
