member_id,current_age,retirement_age,years_to_retirement,gender,employment_sector,current_salary,salary_growth_rate,years_of_service,job_changes,career_breaks_months,contribution_rate,monthly_contribution,current_pot_value,expected_annual_return,inflation_rate,risk_tolerance,employer_match,health_status,education_level,final_retirement_pot
MEMBER_000001,51.0,67,16.0,Female,Public,42783.18,0.0278,18.5,0,24.6,0.1103,393.3,150239.78,0.0463,0.0208,Low,0.03,Good,Bachelor,482950.44
MEMBER_000002,26.7,65,38.3,Male,Private,45209.67,0.0227,3.3,0,1.8,0.0837,315.21,10412.55,0.0473,0.0202,Low,0.05,Good,High School,888622.12
MEMBER_000003,38.6,68,29.4,Male,Healthcare,40135.28,0.0271,11.9,0,7.0,0.03,100.34,17849.18,0.0583,0.0321,High,0.0,Excellent,High School,239850.66
MEMBER_000004,26.0,65,39.0,Female,Private,32399.05,0.0074,2.3,1,29.0,0.0975,263.14,5628.54,0.0683,0.0322,Low,0.03,Excellent,Master,723878.41
MEMBER_000005,26.9,65,38.1,Male,Private,42403.55,0.0331,4.9,0,0.3,0.1207,426.46,22306.03,0.0696,0.0314,Medium,0.05,Good,Bachelor,2169101.24
MEMBER_000006,44.3,65,20.7,Male,Healthcare,45987.8,0.0051,22.3,3,0.2,0.0557,213.63,118451.07,0.0475,0.0323,High,0.0,Fair,Bachelor,501675.14
MEMBER_000007,36.6,65,28.4,Male,Education,31974.38,0.005,3.8,0,0.8,0.0904,240.78,9157.74,0.0526,0.0282,Medium,0.05,Good,PhD,248338.77
MEMBER_000008,44.7,65,20.3,Male,Healthcare,37837.05,0.025,4.9,1,0.3,0.0902,284.39,14864.57,0.0549,0.0311,Medium,0.03,Fair,Bachelor,208474.37
MEMBER_000009,61.9,66,4.1,Male,Education,72857.7,0.0151,1.0,0,2.3,0.063,382.57,3374.27,0.0551,0.0221,Low,0.05,Excellent,Bachelor,45688.47
MEMBER_000010,43.1,65,21.9,Male,Public,50367.44,0.0127,21.1,2,0.2,0.0368,154.45,76410.31,0.0729,0.0354,High,0.06,Fair,Bachelor,718749.44
MEMBER_000011,47.7,65,17.3,Male,Healthcare,57988.23,0.0437,15.8,2,0.8,0.0942,455.28,131082.38,0.0665,0.0351,High,0.05,Good,High School,722006.74
MEMBER_000012,35.7,65,29.3,Female,Private,40712.36,0.0333,13.7,2,3.9,0.0479,162.42,36641.43,0.0622,0.0232,Low,0.06,Good,PhD,640295.39
MEMBER_000013,34.8,67,32.2,Male,Public,21913.32,0.0321,12.8,1,1.9,0.0828,151.16,30496.77,0.0709,0.0254,Medium,0.05,Fair,Bachelor,884976.34
MEMBER_000014,37.8,67,29.2,Female,Technology,50763.37,0.06,15.8,4,3.0,0.0654,276.83,79004.4,0.0562,0.0435,Low,0.05,Excellent,High School,750856.47
MEMBER_000015,39.3,65,25.7,Female,Education,43220.33,0.0305,1.3,0,6.1,0.0419,150.82,1809.65,0.0755,0.0316,High,0.05,Good,Master,486978.03
MEMBER_000016,25.0,65,40.0,Male,Finance,38540.63,0.0337,3.0,0,0.3,0.0895,287.55,8293.88,0.0308,0.0326,Low,0.06,Fair,Bachelor,893017.96
MEMBER_000017,29.1,65,35.9,Male,Education,42555.83,0.0294,7.1,0,1.4,0.1032,366.12,30746.16,0.0356,0.0242,Medium,0.03,Good,Bachelor,724540.94
MEMBER_000018,39.4,66,26.6,Male,Technology,38190.33,0.0296,1.1,0,0.1,0.0994,316.39,3077.95,0.0569,0.01,Medium,0.03,Good,Master,506363.42
MEMBER_000019,50.3,68,17.7,Male,Public,46325.94,0.0278,1.1,0,3.7,0.0613,236.72,2325.03,0.0457,0.0222,Medium,0.05,Fair,Bachelor,157846.46
MEMBER_000020,55.5,65,9.5,Female,Education,45051.27,0.0262,7.0,1,19.9,0.1266,475.24,39159.3,0.0484,0.0217,High,0.05,Fair,Bachelor,182277.95
MEMBER_000021,42.1,65,22.9,Female,Public,45888.47,0.0282,20.1,3,4.6,0.0761,290.99,131376.07,0.0666,0.0303,Medium,0.0,Good,High School,554781.45
MEMBER_000022,65.0,67,2.0,Male,Public,65532.03,0.0194,14.4,0,0.2,0.067,365.89,89816.63,0.0581,0.0295,Low,0.0,Poor,Bachelor,121960.16
MEMBER_000023,58.9,68,9.1,Female,Education,41934.21,0.0178,22.5,3,4.1,0.0736,257.18,145955.5,0.0448,0.0246,Low,0.0,Good,Bachelor,254665.11
MEMBER_000024,46.1,66,19.9,Male,Technology,60752.1,0.0251,1.1,0,7.0,0.1483,750.66,7669.28,0.0611,0.0215,Medium,0.05,Fair,High School,744412.26
MEMBER_000025,43.7,66,22.3,Male,Public,52668.08,0.005,13.1,0,7.3,0.0642,281.89,59099.87,0.0263,0.0279,High,0.05,Excellent,Master,358448.98
MEMBER_000026,62.7,66,3.3,Female,Technology,89165.1,0.0203,40.7,7,2.0,0.0878,652.26,1626783.62,0.0595,0.0371,High,0.06,Excellent,Bachelor,2185070.97
MEMBER_000027,28.6,66,37.4,Female,Private,36302.87,0.0283,6.6,1,13.1,0.0575,174.09,13256.61,0.0704,0.0263,Medium,0.0,Excellent,Master,848080.03
MEMBER_000028,55.5,65,9.5,Male,Public,65540.9,0.0074,7.5,2,1.4,0.0654,357.19,32267.23,0.075,0.0329,High,0.0,Fair,Bachelor,144780.45
MEMBER_000029,41.6,68,26.4,Male,Private,27325.14,0.012,1.2,0,0.3,0.1001,227.91,2400.33,0.0385,0.0289,Medium,0.06,Good,Bachelor,217900.34
MEMBER_000030,39.3,65,25.7,Male,Private,43463.63,0.0146,3.5,0,1.4,0.0769,278.68,9609.74,0.0556,0.0291,Low,0.06,Fair,High School,423090.72
MEMBER_000031,55.2,67,11.8,Male,Public,43574.5,0.0222,14.4,2,0.1,0.03,108.94,26745.46,0.0678,0.0171,High,0.05,Good,High School,173361.63
MEMBER_000032,22.0,65,43.0,Male,Private,24102.76,0.0142,1.0,1,2.3,0.0798,160.2,1413.0,0.0772,0.0256,Medium,0.05,Good,High School,1084304.82
MEMBER_000033,34.5,66,31.5,Female,Private,24224.62,0.0253,4.1,0,1.6,0.0838,169.21,7038.95,0.0493,0.0217,Low,0.0,Fair,High School,123904.68
MEMBER_000034,53.2,68,14.8,Male,Private,49181.91,0.0326,2.8,0,5.3,0.1413,579.12,15684.37,0.0793,0.0325,Low,0.03,Good,Bachelor,250149.64
MEMBER_000035,39.5,66,26.5,Male,Private,41408.03,0.0243,11.4,0,0.8,0.0437,150.69,25194.77,0.046,0.0311,Medium,0.05,Good,Bachelor,250934.36
MEMBER_000036,32.6,68,35.4,Female,Finance,42082.96,0.019,10.6,0,3.1,0.115,403.41,60320.67,0.0588,0.0277,Low,0.0,Excellent,Master,817109.54
MEMBER_000037,48.5,66,17.5,Female,Private,74211.61,0.0225,7.1,1,9.7,0.119,736.13,62039.79,0.0599,0.0232,Medium,0.05,Fair,Bachelor,484244.84
MEMBER_000038,58.7,65,6.3,Female,Healthcare,65216.36,0.0258,23.3,1,4.4,0.0821,446.44,272586.97,0.0478,0.0288,Medium,0.06,Excellent,Master,458059.33
MEMBER_000039,41.8,67,25.2,Male,Public,30823.56,0.0346,15.4,2,0.8,0.1092,280.51,76685.86,0.0283,0.037,Medium,0.06,Excellent,Bachelor,600611.02
MEMBER_000040,46.6,65,18.4,Female,Finance,74209.16,0.0309,24.6,3,6.0,0.0503,311.13,212569.08,0.0531,0.0254,Medium,0.03,Excellent,Bachelor,915260.36
MEMBER_000041,32.9,66,33.1,Female,Private,20893.74,0.0377,9.0,0,3.9,0.0554,96.54,11373.2,0.0549,0.0144,Medium,0.06,Good,Bachelor,365295.84
MEMBER_000042,51.2,68,16.8,Male,Private,91392.76,0.0256,1.0,0,0.5,0.0766,583.05,5366.62,0.0573,0.0456,Low,0.05,Good,Bachelor,293705.12
MEMBER_000043,22.0,66,44.0,Male,Public,18000.0,0.0109,1.0,0,0.1,0.0567,85.0,749.68,0.0623,0.0188,Medium,0.0,Excellent,High School,281917.79
MEMBER_000044,43.4,65,21.6,Female,Public,36447.03,0.0213,19.2,4,6.6,0.0898,272.7,112412.38,0.0362,0.0324,High,0.03,Good,Bachelor,455129.2
MEMBER_000045,26.3,66,39.7,Male,Private,37682.7,0.0075,4.3,1,4.1,0.0637,199.88,8956.34,0.0696,0.0248,Medium,0.03,Excellent,High School,1218512.61
MEMBER_000046,53.1,65,11.9,Male,Education,47579.25,0.0285,2.8,0,0.0,0.0311,123.36,3360.32,0.0633,0.041,High,0.03,Excellent,High School,77318.13
MEMBER_000047,64.4,66,1.6,Male,Technology,106736.61,0.0066,11.0,0,0.4,0.0416,370.13,58296.18,0.0498,0.0266,Medium,0.03,Good,High School,85416.24
MEMBER_000048,34.4,65,30.6,Female,Private,41496.74,0.0268,12.4,1,3.6,0.0798,276.09,52626.1,0.0451,0.0115,Medium,0.0,Excellent,Bachelor,578252.21
MEMBER_000049,65.0,66,1.0,Male,Education,55763.21,0.0313,4.8,1,0.2,0.1092,507.34,25620.26,0.0539,0.03,Low,0.05,Fair,Bachelor,39004.97
MEMBER_000050,58.0,66,8.0,Female,Public,30592.51,0.0244,36.0,4,10.0,0.0934,238.11,416058.83,0.0518,0.034,High,0.03,Fair,High School,709941.33
MEMBER_000051,28.1,65,36.9,Male,Healthcare,35339.85,0.0376,1.0,0,1.6,0.0532,156.56,1400.94,0.0452,0.0333,Medium,0.06,Good,High School,725678.1
MEMBER_000052,45.6,67,21.4,Female,Private,40394.88,0.0391,9.8,4,6.0,0.0674,226.87,30149.29,0.0508,0.0142,Low,0.03,Excellent,High School,225844.52
MEMBER_000053,44.6,66,21.4,Female,Public,41941.66,0.0233,22.6,3,28.9,0.0552,193.05,110222.21,0.0575,0.0289,Medium,0.05,Excellent,High School,535167.88
MEMBER_000054,38.3,67,28.7,Male,Public,34513.83,0.0133,16.3,1,3.4,0.0588,169.24,51523.19,0.0444,0.0439,Medium,0.0,Fair,High School,358821.52
MEMBER_000055,51.5,66,14.5,Male,Private,71056.45,0.0112,19.3,1,0.5,0.0581,343.87,142644.42,0.0472,0.0268,High,0.03,Good,Bachelor,431280.04
MEMBER_000056,57.5,66,8.5,Female,Private,59914.21,0.0281,16.1,6,8.7,0.0689,343.96,102195.92,0.0425,0.0195,High,0.06,Good,High School,261038.74
MEMBER_000057,54.8,68,13.2,Female,Private,34033.13,0.0315,22.7,2,20.6,0.1449,410.94,237213.7,0.0641,0.0265,Low,0.06,Good,High School,714723.97
MEMBER_000058,32.7,65,32.3,Female,Private,31230.99,0.0263,10.7,3,8.6,0.127,330.44,49929.31,0.054,0.0206,Low,0.06,Good,Bachelor,989100.52
MEMBER_000059,50.3,66,15.7,Male,Public,41646.66,0.0362,4.8,1,1.1,0.1193,414.09,21035.98,0.0533,0.0301,Medium,0.03,Good,PhD,268010.33
MEMBER_000060,42.5,65,22.5,Male,Public,28458.22,0.0394,20.5,3,3.0,0.0971,230.26,108025.45,0.0617,0.0301,Low,0.0,Fair,Bachelor,578065.39
MEMBER_000061,43.9,65,21.1,Male,Healthcare,60746.34,0.0114,10.1,0,1.7,0.0705,356.97,49919.11,0.0676,0.0198,Medium,0.03,Excellent,High School,476178.63
MEMBER_000062,22.0,66,44.0,Male,Healthcare,28692.11,0.0298,1.0,0,0.2,0.0799,191.02,1684.82,0.0376,0.037,Medium,0.0,Good,Bachelor,504463.96
MEMBER_000063,42.0,65,23.0,Male,Private,39136.96,0.027,17.5,2,0.2,0.0481,156.94,54424.71,0.076,0.0324,Low,0.06,Excellent,Bachelor,522991.19
MEMBER_000064,49.7,67,17.3,Female,Private,51342.95,0.0345,25.5,4,0.9,0.0491,209.88,155973.38,0.0471,0.0299,Medium,0.05,Fair,High School,607276.74
MEMBER_000065,31.5,66,34.5,Male,Public,37167.89,0.0224,9.5,2,0.8,0.03,92.92,11725.64,0.0316,0.041,Medium,0.03,Fair,Master,171051.92
MEMBER_000066,38.1,66,27.9,Female,Public,47740.79,0.0388,16.1,0,12.3,0.0635,252.59,75155.64,0.0449,0.0248,Low,0.06,Good,Bachelor,755695.58
MEMBER_000067,58.8,65,6.2,Male,Finance,38444.75,0.0331,5.9,1,7.0,0.0426,136.57,9025.6,0.0317,0.0228,Low,0.0,Good,Bachelor,21383.95
MEMBER_000068,59.8,65,5.2,Female,Healthcare,48713.65,0.0215,1.0,0,7.8,0.0915,371.27,3274.61,0.0615,0.0332,Low,0.0,Good,High School,32440.71
MEMBER_000069,53.7,65,11.3,Male,Private,58695.51,0.0231,10.6,0,0.3,0.0935,457.1,68420.55,0.0687,0.0278,Medium,0.05,Good,Bachelor,354224.84
MEMBER_000070,32.5,65,32.5,Female,Finance,41086.54,0.0185,8.8,1,10.7,0.0845,289.36,32849.67,0.0605,0.0442,High,0.05,Excellent,Master,1172448.82
MEMBER_000071,58.3,65,6.7,Female,Private,74104.26,0.0173,16.1,1,23.7,0.0889,548.98,162630.95,0.0598,0.0284,Medium,0.05,Fair,Bachelor,380790.13
MEMBER_000072,30.3,67,36.7,Female,Education,36540.95,0.0224,1.9,0,0.8,0.0417,126.86,2248.22,0.0303,0.0179,Medium,0.03,Good,High School,313528.37
MEMBER_000073,47.0,66,19.0,Female,Private,39302.24,0.0348,11.0,1,3.5,0.0703,230.1,36266.58,0.0767,0.0104,Medium,0.05,Fair,Master,383894.02
MEMBER_000074,49.7,68,18.3,Male,Finance,47842.52,0.0222,10.0,0,0.7,0.1091,435.08,59346.46,0.0457,0.01,Medium,0.05,Good,Bachelor,415564.95
MEMBER_000075,43.4,66,22.6,Male,Private,46499.97,0.019,12.6,2,3.3,0.0896,347.17,67653.99,0.0463,0.0255,Medium,0.06,Good,Master,493551.16
MEMBER_000076,49.8,65,15.2,Female,Private,34446.22,0.0181,22.7,4,7.1,0.0444,127.37,73841.07,0.0596,0.0301,Low,0.0,Excellent,Bachelor,199912.33
MEMBER_000077,56.6,65,8.4,Male,Private,94013.69,0.0281,2.2,0,1.0,0.0799,626.27,12887.26,0.0802,0.0206,Medium,0.06,Excellent,High School,212142.05
MEMBER_000078,64.5,65,1.0,Male,Public,42787.14,0.0179,6.6,0,1.5,0.087,310.26,23628.21,0.0317,0.0276,Medium,0.03,Good,Bachelor,33235.07
MEMBER_000079,65.0,66,1.0,Male,Private,75465.8,0.0151,11.5,0,1.2,0.0989,621.85,105457.67,0.044,0.0349,Medium,0.05,Fair,High School,101863.39
MEMBER_000080,41.2,68,26.8,Female,Private,43506.19,0.0373,14.7,0,8.7,0.0951,344.83,86785.91,0.0637,0.0164,Medium,0.0,Fair,Bachelor,756536.54
MEMBER_000081,34.8,66,31.2,Female,Private,22372.43,0.0249,12.8,1,16.3,0.1052,196.05,39475.71,0.0484,0.0343,High,0.06,Fair,Master,609709.32
